URL,Title,Price,Sale,Saving,PDP_Title,PDP_Price,PDP_Sale,PDP_OldPrice,PDP_Saving,availability,usage,stock #,length,width,height,tilt bed,color,gvwr,payload capacity,style,trim color,length overall,PDP_new/used,PDP_availability,PDP_location,PDP_primary color,PDP_stock #,PDP_condition,PDP_gvwr,PDP_height,PDP_length,PDP_payload capacity,PDP_width,PDP_trim color,PDP_hitch type,PDP_number of axles,PDP_tilt bed,PDP_frame,PDP_usage
"('https://www.onestoptrailershop.com/inventory/2026-high-country-trailers-65x16-aluminum-utility-trailer-tandem-axle-with-brakes-barrington-nh-03825-13799943i', None)",20266.5x16 aluminum utility trailer tandem axle with brakesHigh Country Trailers,"$5,599.00",False,,2026 High Country Trailers 6.5x16 aluminum utility trailer tandem axle with brakes,"5,599.00",False,,,In Stock,,54031,16,6.5,,No,silver,,,,,,,In Stock,One Stop Trailer Shop,silver,54031,Excellent,6000,,"16' 0""",,"6' 6""",silver,A-Frame,2,No,Aluminum,
"('https://www.onestoptrailershop.com/inventory/2025-watchdog-7x14-commercial-grade-dump-trailer-14000lb-gvwr-matte-black-barrington-nh-03825-13381965i', None)","20257x14 commercial grade dump trailer 14,000lb gvwr Matte BlackWatchdog","$12,499.00",True,"You Save $1,000.00","2025 Watchdog 7x14 commercial grade dump trailer 14,000lb gvwr Matte Black","12,499.00",True,"Was $13,499.00","Save $1,000.00 now until 07/31/2026",In Stock,New,54575,14,7,2,,,,,,,,New,In Stock,One Stop Trailer Shop,Black,54575,Excellent,14000,"2' 0""","14' 0""",10000,"7' 0""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2025-watchdog-7x14-commercial-grade-dump-trailer-battleship-grey-barrington-nh-03825-13381978i', None)",20257x14 commercial grade Dump trailer battleship greyWatchdog,"$12,499.00",True,"You Save $1,000.00",2025 Watchdog 7x14 commercial grade Dump trailer battleship grey,"12,499.00",True,"Was $13,499.00","Save $1,000.00 now until 07/31/2026",In Stock,New,54577,14,7,2,,,,,,,,New,In Stock,One Stop Trailer Shop,Gray,54577,Excellent,14000,"2' 0""","14' 0""",10000,"7' 0""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2025-extreme-road-trail-xt-200-4x6-off-road-dump-trailer-dual-axle-barrington-nh-03825-13382104i', None)",2025xt 200 4x6 off road dump trailer dual axleExtreme Road & Trail,"$3,499.00",True,You Save $350.00,2025 Extreme Road & Trail xt 200 4x6 off road dump trailer dual axle,"3,499.00",True,"Was $3,849.00",Save $350.00 now until 07/31/2026,In Stock,New,xt200,6,4,1.5,,,,,,,,New,In Stock,One Stop Trailer Shop,Black,xt200,Excellent,2000,"1' 6""","6' 0""",1400,"4' 0""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2025-rance-aluminum-trailers-45x8-aluminum-dump-trailer-with-ramps-barrington-nh-03825-13382567i', None)",20254.5x8 aluminum dump trailer with rampsRance Aluminum Trailers,"$5,999.00",True,"You Save $1,000.00",2025 Rance Aluminum Trailers 4.5x8 aluminum dump trailer with ramps,"5,999.00",True,"Was $6,999.00","Save $1,000.00 now until 07/31/2026",In Stock,New,15829,8,4.5,1.6666666666666665,,,,,,,,New,In Stock,One Stop Trailer Shop,,15829,Excellent,,"1' 8""","8' 0""",,"4' 6""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2024-extreme-road-trail-xrt-424-55x9-dump-with-24-inch-sides-and-tarp-kit-barrington-nh-03825-13382578i', None)",2024Xrt 424 5.5x9 dump with 24 inch sides and tarp kitExtreme Road & Trail,"$6,350.00",True,"You Save $1,149.00",2024 Extreme Road & Trail Xrt 424 5.5x9 dump with 24 inch sides and tarp kit,"6,350.00",True,"Was $7,499.00","Save $1,149.00 now until 07/31/2026",In Stock,New,01610,9,5.5,2,,,,,,,,New,In Stock,One Stop Trailer Shop,Gray,01610,Excellent,4990,"2' 0""","9' 0""",3990,"5' 6""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2026-quality-steel-aluminum-products-llc-7x14-14000lb-gvwr-dump-trailer-with-2-foot-sides-barrington-nh-03825-13670275i', None)","20267x14 14,000lb gvwr dump trailer with 2 foot sidesQuality Steel & Aluminum Products, LLC","$9,499.00",True,"You Save $1,200.00","2026 Quality Steel & Aluminum Products, LLC 7x14 14,000lb gvwr dump trailer with 2 foot sides","9,499.00",True,"Was $10,699.00","Save $1,200.00 now until 11/30/2026",In Stock,New,67209,14,7,2,,,,,,,,New,In Stock,One Stop Trailer Shop,black,67209,Excellent,14000,"2' 0""","14' 0""",10160,"7' 0""",,,,,,
"('https://www.onestoptrailershop.com/inventory/2026-nitro-75x18-extra-height-xps-enclosed-snowmobile-trailer-3-place-sxs-atv-utv-loaded-barrington-nh-03825-13761860i', None)",20267.5x18 extra height xps enclosed snowmobile trailer 3 place sxs atv utv Loaded,"$19,399.00",False,,2026 Nitro 7.5x18 extra height xps enclosed snowmobile trailer 3 place sxs atv utv Loaded,"19,399.00",False,,,In Stock,New,.9939,18 ft. 0 in.,,7 ft. 6 in.,,,,,Dual Axle,,,New,In Stock,One Stop Trailer Shop,White,.9939,Excellent,7000,"7' 6""","18' 0""",,"7' 6""",Black,A-Frame,,No,Aluminum,
"('https://www.onestoptrailershop.com/inventory/2023-lightning-101x14-aluminum-snowmobile-trailer-tandem-axle-with-mats-guides-left-over-barrington-nh-03825-13794411i', None)",2023101X14 ALUMINUM SNOWMOBILE TRAILER TANDEM AXLE WITH MATS & GUIDES LEFT OVER,"$10,499.00",False,,2023 Lightning 101X14 ALUMINUM SNOWMOBILE TRAILER TANDEM AXLE WITH MATS & GUIDES LEFT OVER,"10,499.00",False,,,In Stock,New,85647,14 ft. 0 in.,,5 ft. 6 in.,,,,,Dual Axle,,,New,In Stock,One Stop Trailer Shop,WHITE,85647,Excellent,6000,"5' 6""","14' 0""",4500,"8' 6""",SILVER,A-Frame,2,No,Aluminum,
"('https://www.onestoptrailershop.com/inventory/2026-nitro-101x12-bcx-snowmobile-trailer-with-black-out-trim-package-silver-frost-exterior-barrington-nh-03825-13822396i', None)",2026101x12 BCX Snowmobile trailer with black out trim package silver frost exterior,"$8,499.00",False,,2026 Nitro 101x12 BCX Snowmobile trailer with black out trim package silver frost exterior,"8,499.00",False,,,In Stock,New,09827,,,,,Silver,,,,Black,,New,In Stock,One Stop Trailer Shop,Silver,09827,Excellent,,,,,,Black,,,,,
